id,educ,ln_wage,pexp,time,ability,meduc,feduc,broken_home,siblings,pexp2
290,12,2.78,5,4,.28,12,14,0,4,25
291,15,1.62,5,4,.34,11,10,0,7,25
292,13,2.26,2,4,.61,13,16,0,1,4
293,16,1.57,1,4,1.02,12,12,0,4,1
296,15,2.34,3,4,1.12,14,16,0,2,9
298,12,2.12,6,4,-.5,12,12,0,3,36
301,12,2.87,5,4,.15,10,11,0,6,25
302,15,1.1,1,4,1.07,12,13,0,2,1
303,15,2.82,5,4,.99,12,14,0,2,25
304,14,2.77,7,4,.82,12,14,0,15,49
307,12,1.98,3,4,1.17,12,12,0,6,9
308,12,1.88,2,4,-.5,12,12,0,6,4
309,13,2.35,6,4,-.26,12,12,0,3,36
310,16,2.14,2,4,1.38,12,12,0,0,4
311,16,2.01,3,4,.03,12,12,0,1,9
312,14,2.46,1,4,.97,12,12,0,1,1
313,13,3.15,7,4,.77,10,12,0,9,49
315,12,2.39,2,4,-.21,12,12,0,3,4
316,12,2.64,7,4,.51,12,12,0,2,49
319,12,1.6,6,4,.2,8,12,0,1,36
323,12,2.1,8,4,-1.24,12,10,0,7,64
324,12,2.28,5,4,.23,8,10,0,6,25
327,12,1.76,2,4,1.25,11,12,0,3,4
328,12,2.47,7,4,-.6,10,8,0,5,49
332,12,1.84,6,4,.09,12,16,0,8,36
333,12,1.81,5,4,-.18,12,15,0,2,25
338,12,2.47,3,4,-.11,12,12,0,0,9
339,12,1.65,3,4,-1.62,8,8,0,3,9
342,15,1.39,4,4,.73,16,16,0,2,16
350,12,2.49,7,4,.56,12,12,0,4,49
351,12,2.56,8,4,.53,12,12,0,7,64
353,12,1.44,5,4,.39,8,12,0,1,25
354,10,1.78,10,4,-.32,8,5,0,8,100
356,12,2.24,7,4,-.25,12,9,0,2,49
357,11,1.76,9,4,-1.44,12,7,0,1,81
360,14,2.64,6,4,.26,14,16,0,1,36
361,12,2.32,9,4,-.04,12,16,0,0,81
362,12,1.65,3,4,.92,12,16,0,2,9
364,13,2.03,3,4,-.41,17,17,0,3,9
366,12,2.12,7,4,.48,14,14,1,4,49
367,15,2.82,6,4,.43,14,14,1,4,36
368,15,2.9,4,4,.6,18,20,0,4,16
369,15,1.9,3,4,.67,16,20,0,4,9
373,12,2.84,3,4,-.22,12,14,0,3,9
377,13,2.35,6,4,-.81,14,9,0,2,36
379,16,2.35,1,4,1.21,16,16,0,2,1
382,12,2.11,6,4,-.55,12,17,0,3,36
387,11,2.37,8,4,.15,11,11,0,3,64
388,12,1.65,3,4,-1.13,13,12,1,2,9
390,9,2.2,9,4,-1.46,12,12,1,2,81
391,12,1.84,5,4,-.17,12,12,0,2,25
394,12,2.44,6,4,-.26,12,9,0,2,36
396,12,2.9,5,4,-.42,12,12,0,5,25
397,11,2.16,6,4,-.22,12,12,0,2,36
401,15,2.34,5,4,-.16,11,11,1,4,25
403,12,1.87,3,4,-2.09,6,3,0,1,9
404,13,2.22,7,4,.95,11,11,0,2,49
405,15,2.39,4,4,.81,12,8,0,3,16
408,12,2.55,7,4,.09,10,12,0,3,49
409,12,1.98,3,4,-1.06,11,12,0,3,9
417,12,2.16,5,4,.25,11,11,0,3,25
418,12,2.45,5,4,-.62,14,16,0,4,25
420,12,2.97,7,4,.73,12,16,0,3,49
421,12,2.24,8,4,-.85,8,8,0,7,64
422,11,2.47,9,4,-2.02,9,8,0,6,81
424,11,1.98,2,4,-.43,9,12,1,2,4
429,10,2.54,5,4,-.66,12,12,0,3,25
430,10,1.89,6,4,-2.27,6,4,1,5,36
431,10,2.43,10,4,-.32,10,10,0,1,100
432,15,.71,4,4,.12,12,12,0,4,16
433,15,.51,1,4,1.15,13,17,0,2,1
434,13,2.05,8,4,.31,12,10,0,1,64
435,15,1.47,2,4,1.14,12,12,1,1,4
439,14,2.02,5,4,.93,18,14,1,1,25
440,12,1.76,6,4,1,12,19,0,3,36
443,12,2.03,4,4,-1.21,16,14,0,2,16
444,11,3.47,4,4,.07,12,11,0,2,16
445,13,2.67,7,4,1.02,12,16,1,9,49
449,11,2.09,7,4,-.11,12,13,1,5,49
450,12,2.16,6,4,.27,12,14,0,4,36
452,12,1.91,3,4,.87,12,14,0,4,9
454,12,1.96,4,4,-.68,12,18,0,1,16
456,14,2.75,2,4,1.08,12,15,0,3,4
459,10,1.98,5,4,-.79,12,12,0,3,25
461,12,1.65,3,4,-.02,16,13,0,1,9
464,12,1.28,8,4,-.1,12,10,1,7,64
465,9,1.98,6,4,-.22,12,12,0,6,36
466,12,2.64,3,4,.6,10,12,0,1,9
468,12,1.73,1,4,.09,12,12,0,2,1
470,12,1.58,1,4,1,12,12,1,2,1
473,12,1.82,4,4,.3,12,12,0,5,16
475,15,3.22,5,4,.84,12,12,0,4,25
476,14,1.69,5,4,.31,14,18,0,2,25
480,12,2.42,3,4,1.72,12,16,0,3,9
482,12,2.21,3,4,.15,12,12,0,6,9
483,12,2.2,3,4,-.18,12,12,0,6,9
484,12,2.24,3,4,-.27,16,16,0,1,9
485,12,2.79,7,4,.53,12,12,0,4,49
486,13,2.34,4,4,-.81,6,4,0,1,16
487,12,2.67,7,4,-1.63,6,4,1,1,49
492,10,1.76,3,4,.48,12,12,1,3,9
497,13,2.73,2,4,1.14,14,12,0,3,4
498,14,1.72,1,4,-.39,18,14,1,2,1
504,15,1.88,4,4,-.22,16,16,1,3,16
505,11,2.67,8,4,-1.97,2,2,0,10,64
506,12,2.53,8,4,-1.96,9,6,0,11,64
507,12,1.58,2,4,.5,12,12,0,4,4
511,12,2.67,5,4,.2,14,12,0,3,25
512,12,1.98,3,4,1.17,20,20,0,1,9
516,12,2.26,4,4,.42,14,13,1,1,16
517,13,2.97,2,4,1.23,16,16,0,2,4
518,14,2.67,7,4,1.27,10,18,0,3,49
521,11,1.61,6,4,.73,11,10,0,4,36
522,12,2.27,6,4,-1.73,12,14,1,5,36
523,12,1.67,2,4,.75,12,15,1,1,4
524,12,1.61,1,4,.71,12,12,0,2,1
525,12,2.46,4,4,.78,13,15,0,1,16
526,12,2.41,4,4,.7,12,12,0,1,16
528,12,1.82,2,4,1.17,12,16,0,5,4
530,12,1.61,5,4,.17,12,12,0,2,25
531,13,1.93,1,4,.31,12,12,0,2,1
532,9,1.96,6,4,-.74,12,9,1,9,36
535,16,3.07,4,4,1.11,14,16,0,1,16
536,14,2.03,6,4,-.35,8,4,0,3,36
537,13,1.68,1,4,.89,12,13,1,2,1
538,12,1.98,8,4,.33,18,20,0,5,64
542,15,2.12,4,4,.59,12,12,0,1,16
544,12,2.47,6,4,.69,12,12,0,2,36
546,12,1.58,5,4,-1.93,8,9,1,3,25
549,12,1.82,5,4,-.06,12,12,1,2,25
551,13,2.51,5,4,.93,12,12,0,1,25
552,12,2.04,7,4,-1.1,10,9,0,3,49
554,12,2.23,6,4,.32,11,12,1,2,36
555,12,2.33,7,4,.36,12,12,1,2,49
557,12,2.24,3,4,.83,12,10,0,1,9
559,12,2.02,4,4,-1.12,12,12,0,1,16
562,12,2.3,3,4,-.32,11,16,1,3,9
563,12,2.29,4,4,.94,12,12,1,2,16
565,13,1.91,4,4,1.03,12,11,0,1,16
566,13,1.78,3,4,.74,12,16,0,1,9
569,12,1.99,6,4,-1.96,12,12,0,3,36
571,11,1.98,6,4,-.75,8,9,0,4,36
572,12,2.72,8,4,.59,12,17,0,5,64
573,12,2.26,5,4,.78,12,12,0,2,25
574,12,2.09,8,4,-.94,12,8,1,3,64
575,12,1.58,2,4,.22,12,14,0,1,4
577,12,1.76,3,4,-.08,12,12,0,2,9
587,12,1.69,3,4,.19,11,12,0,2,9
588,12,1.62,5,4,.04,12,12,1,6,25
594,12,1.62,5,4,.38,12,14,0,3,25
596,12,1.88,5,4,.38,12,9,0,3,25
597,12,1.93,4,4,.87,12,11,0,3,16
598,11,1.76,2,4,-.34,12,11,0,3,4
599,12,1.02,1,4,-.94,12,12,0,2,1
601,11,2.39,6,4,.37,11,11,0,6,36
602,17,1.58,2,4,.92,16,12,0,2,4
619,12,1.21,2,4,1.47,14,16,0,3,4
620,12,2.4,8,4,.41,10,12,0,6,64
621,12,2.25,7,4,.27,11,11,0,8,49
622,12,1.88,7,4,-.58,12,12,0,6,49
623,11,2.28,6,4,.17,12,12,0,6,36
624,12,1.34,3,4,-.77,12,12,0,6,9
628,14,2.23,6,4,-.71,12,12,0,4,36
631,12,2.94,6,4,.93,12,8,0,3,36
632,12,2.35,7,4,.02,12,12,0,1,49
636,12,1.61,1,4,1.04,12,14,0,6,1
638,12,1.95,4,4,-1.22,12,12,0,5,16
640,12,2.87,4,4,-.74,12,12,0,3,16
641,12,2.77,3,4,-.81,10,8,1,0,9
642,12,2.3,4,4,.09,12,16,0,5,16
643,12,1.62,1,4,-.91,12,12,0,1,1
646,12,2.35,8,4,-.03,12,12,0,2,64
648,11,1.31,9,4,-.4,11,6,0,4,81
649,12,2.86,7,4,-.31,12,10,0,0,49
650,15,2.12,2,4,.86,14,14,0,2,4
651,13,2.2,2,4,-.46,13,9,0,1,4
652,12,1.89,5,4,.44,12,11,0,0,25
654,12,1.98,4,4,-.09,3,8,0,3,16
655,11,2.45,5,4,.58,11,10,1,4,25
656,13,2.08,5,4,-.32,12,12,1,2,25
657,13,1.76,5,4,.59,16,16,0,5,25
659,12,2.47,4,4,-.02,12,14,0,1,16
661,12,2.33,8,4,-.52,10,11,0,1,64
662,12,2.42,7,4,.06,12,6,0,2,49
665,12,2.32,5,4,.28,14,9,0,2,25
668,16,3.01,4,4,1.38,12,10,0,1,16
671,12,2.2,6,4,-.11,15,12,0,1,36
675,12,2.09,6,4,.01,12,8,0,1,36
676,12,2.29,8,4,.27,12,12,0,1,64
677,12,1.4,3,4,-.34,12,12,0,1,9
680,15,1.69,5,4,.47,18,16,0,3,25
681,16,2.89,3,4,1.05,16,16,0,5,9
683,13,2.03,7,4,.72,16,16,0,5,49
684,12,1.69,8,4,-.18,12,12,0,3,64
685,9,2.16,7,4,-1.28,9,9,0,5,49
686,10,1.73,4,4,-2.28,9,9,0,5,16
687,14,2.79,5,4,1.32,12,12,0,2,25
688,12,2.71,9,4,.57,10,9,0,1,81
689,9,1.42,5,4,-1,8,8,0,6,25
692,12,1.76,2,4,-.19,12,12,0,2,4
695,14,2.39,5,4,.58,10,12,0,3,25
698,12,1.88,8,4,.62,12,10,0,1,64
700,12,2.35,5,4,.97,12,12,0,3,25
701,12,1.97,3,4,-1.37,12,12,0,1,9
702,10,1.83,5,4,-.02,12,12,1,3,25
707,12,1.79,1,4,.29,11,12,0,3,1
708,11,1.69,6,4,-.15,12,12,1,3,36
711,12,1.82,4,4,.88,12,11,1,2,16
712,12,2.37,8,4,-.39,12,12,0,3,64
713,12,2.53,3,4,.14,12,10,0,1,9
714,12,2.16,9,4,-.8,12,12,0,2,81
715,11,1.8,7,4,-1.71,9,6,0,8,49
716,12,2.94,7,4,-.8,16,12,0,5,49
717,12,1.89,4,4,1.25,12,15,1,2,16
720,12,1.98,6,4,-1.46,12,4,0,3,36
721,16,2.97,1,4,1.6,16,18,0,2,1
726,12,2,7,4,-.33,12,12,0,3,49
728,12,2.25,6,4,.87,12,12,1,2,36
729,12,1.17,8,4,-.38,12,12,0,2,64
730,10,.44,6,4,-.4,12,12,0,2,36
731,12,.61,6,4,.25,12,6,0,3,36
732,14,2.12,6,4,1.49,14,12,0,4,36
734,13,1.58,2,4,1.55,15,12,0,4,4
735,10,1.98,5,4,-1.19,12,12,0,5,25
738,12,2.47,3,4,.32,13,10,1,1,9
747,15,1.87,6,4,.91,14,16,0,5,36
749,12,1.62,8,4,-.25,12,12,0,1,64
753,13,2.63,6,4,1.38,14,17,0,3,36
754,12,2.25,4,4,1.54,12,17,0,3,16
756,12,1.58,3,4,.99,12,12,0,3,9
758,13,1.61,8,4,.35,12,12,0,4,64
760,12,1.88,3,4,.33,12,11,1,2,9
762,15,1.7,2,4,.99,12,12,0,2,4
764,12,2.16,8,4,-1.02,12,12,0,4,64
766,12,2.28,6,4,.33,12,12,0,3,36
767,12,1.6,4,4,.21,12,12,0,3,16
768,12,1.93,4,4,1.33,12,9,0,2,16
774,11,3.33,6,4,0,12,12,0,1,36
775,12,1.51,1,4,1.24,12,12,0,2,1
777,12,1.76,3,4,1.42,7,12,0,5,9
779,14,2.03,6,4,1.08,12,9,0,2,36
782,12,1.85,4,4,.07,8,8,0,3,16
784,12,2.03,4,4,-1.04,12,12,0,10,16
786,12,2.14,3,4,.12,9,8,0,1,9
787,10,2.57,6,4,-1.33,8,2,0,12,36
791,10,2.49,5,4,.22,8,7,0,3,25
792,12,2.9,6,4,-1.23,12,12,0,1,36
793,9,2.86,4,4,.66,9,8,0,4,16
798,12,2.16,7,4,.91,10,12,1,5,49
800,15,2.64,5,4,.16,14,16,0,1,25
801,12,2.51,7,4,.59,11,12,0,2,49
803,12,2.08,5,4,1.02,12,12,0,3,25
805,14,2.04,1,4,1.75,12,13,1,2,1
806,16,1.88,1,4,1.12,12,12,0,1,1
807,14,1.94,2,4,1.32,16,18,0,1,4
812,10,2.12,6,4,.4,4,14,0,8,36
813,9,1.8,8,4,-1.77,6,8,0,7,64
814,9,1.57,5,4,-1.95,8,5,0,2,25
816,9,2.32,9,4,-1.84,6,4,0,10,81
817,13,2.67,6,4,.87,12,14,1,3,36
818,15,3.01,3,4,1.43,15,15,0,4,9
819,17,2.03,2,4,.79,18,19,0,2,4
823,15,2.84,5,4,.65,5,0,1,8,25
826,12,1.62,5,4,-1.38,6,2,0,6,25
827,12,2,6,4,-.28,11,5,0,1,36
833,10,2.57,8,4,-.05,9,7,0,3,64
834,12,2.02,8,4,-.03,11,4,0,2,64
835,12,2.24,7,4,.14,11,12,0,2,49
843,12,3,5,4,-1.44,9,9,0,3,25
846,11,2.01,2,4,-2.09,12,9,0,2,4
849,10,2.09,4,4,-1.06,10,9,0,0,16
851,15,2.23,3,4,.8,12,12,0,4,9
855,13,2.64,7,4,.42,12,12,0,3,49
858,12,2.54,6,4,.55,12,11,0,3,36
859,10,1.62,4,4,-.7,12,11,0,1,16
861,13,2.45,6,4,.87,12,10,0,2,36
862,13,2.35,8,4,.14,16,13,0,1,64
865,12,2.04,3,4,.52,10,10,0,1,9
866,12,1.9,3,4,.78,12,13,0,6,9
869,15,2.46,5,4,.13,15,16,0,5,25
870,13,2.3,3,4,1.05,15,16,0,5,9
871,12,1.98,2,4,-.19,15,16,0,5,4
873,9,1.58,8,4,-2.47,10,12,1,3,64
876,12,2.52,5,4,-1.04,10,9,1,4,25
881,15,2.35,4,4,1.2,15,16,0,1,16
885,11,2.39,7,4,-2.05,10,12,0,3,49
886,14,2.39,4,4,.55,10,8,0,1,16
889,10,2.2,5,4,.46,12,12,0,5,25
890,12,1.98,2,4,-.16,12,12,0,5,4
891,15,2.63,6,4,.78,17,12,1,3,36
894,15,2.15,5,4,.76,18,20,0,2,25
896,12,2.12,4,4,.27,12,14,0,3,16
897,10,1.58,5,4,-.26,7,12,1,1,25
898,11,1.98,2,4,-1.92,12,7,0,4,4
900,12,1.76,1,4,.58,14,16,0,3,1
904,12,2.99,5,4,0,7,12,0,2,25
905,12,2.16,3,4,-.19,7,12,0,2,9
908,11,1.89,3,4,.12,12,14,0,3,9
909,11,2.67,5,4,-.22,12,12,0,6,25
910,19,2.07,1,4,1.02,16,12,0,1,1
914,12,1.6,1,4,1.5,13,18,1,3,1
916,12,2.52,6,4,.63,15,10,1,4,36
918,12,2.47,7,4,.47,11,11,0,4,49
921,13,2.53,5,4,.18,12,12,0,2,25
924,12,2.16,1,4,.46,14,14,0,4,1
925,15,2.1,5,4,-.19,12,12,0,3,25
926,12,2.14,2,4,-.36,8,8,0,1,4
927,13,2.86,3,4,-.26,16,14,0,4,9
928,12,2.46,6,4,-.76,9,8,1,8,36
929,12,2.81,7,4,-.36,12,15,0,6,49
930,12,1.98,5,4,.37,11,11,0,4,25
934,13,2.86,5,4,-1.34,12,12,0,5,25
937,14,1.49,5,4,.04,12,12,0,3,25
938,15,2.46,2,4,.91,11,12,0,1,4
941,12,2.09,8,4,-1.01,12,12,0,2,64
943,12,1.62,3,4,-1.39,12,12,0,5,9
944,12,1.69,4,4,.33,12,12,0,2,16
945,15,2.78,4,4,.8,16,14,0,3,16
946,16,2.77,3,4,.55,12,12,0,2,9
948,12,1.62,1,4,.56,12,10,0,1,1
949,13,2.57,6,4,0,12,12,0,3,36
953,15,2.58,4,4,.76,12,15,0,5,16
954,12,1.65,2,4,-.16,12,12,0,0,4
955,15,2.2,3,4,.79,12,13,0,4,9
959,15,2.44,3,4,1.11,17,16,0,1,9
960,16,2.3,1,4,1.33,16,16,0,1,1
964,17,2.75,3,4,.54,12,19,0,3,9
967,17,2.79,1,4,1.58,15,7,0,2,1
968,12,2.42,5,4,.73,12,12,0,4,25
969,11,2.21,5,4,-.58,12,11,1,0,25
970,12,1.88,5,4,.5,12,12,0,2,25
971,12,2.51,6,4,.91,12,12,1,4,36
972,12,2.59,6,4,-.36,10,8,0,4,36
973,12,1.98,3,4,-.01,10,8,0,4,9
974,12,2.12,8,4,-.17,12,11,0,3,64
976,12,2.65,4,4,.38,12,10,0,2,16
978,12,1.98,8,4,.3,12,16,0,5,64
985,10,1.98,4,4,-.53,9,12,0,2,16
987,12,1.94,5,4,.42,12,10,0,4,25
989,12,1.62,5,4,.11,12,8,1,1,25
990,12,2.16,3,4,.13,12,8,1,4,9
995,11,1.84,6,4,-1.29,3,5,1,5,36
998,15,1.98,2,4,1,12,14,0,2,4
1000,12,2.5,6,4,-.78,12,12,0,3,36
1002,12,2.16,5,4,-.51,2,16,1,2,25
1003,12,1.98,4,4,-1.57,2,16,1,2,16
1006,15,2.14,2,4,.78,12,12,0,2,4
1010,11,1.89,6,4,.67,5,8,0,6,36
1011,12,1.76,3,4,1.18,5,12,0,2,9
1016,12,1.51,2,4,-1.15,12,12,0,2,4
1020,12,2.39,8,4,-.76,12,12,0,5,64
1021,12,1.98,3,4,.24,12,11,0,5,9
1025,14,2.45,3,4,1.56,12,12,0,2,9
1026,12,2.39,4,4,.86,12,12,0,2,16
1028,12,1.82,2,4,.87,12,12,0,9,4
1029,12,1.33,7,4,.63,12,19,0,3,49
1030,16,1.69,2,4,1.44,17,17,1,2,4
1031,14,2.57,1,4,.31,12,8,1,0,1
1033,12,2.67,3,4,.27,12,11,0,4,9
1035,12,3.33,5,4,-.58,12,12,0,4,25
1036,12,2.25,5,4,-.19,12,12,0,1,25
1040,16,2.59,4,4,.56,16,17,0,4,16
1042,13,2.2,6,4,.23,16,14,0,2,36
1045,11,2.25,5,4,-1.14,6,6,1,4,25
1048,12,3,6,4,.37,14,12,0,4,36
1050,13,2.73,3,4,1.02,16,13,0,5,9
1051,13,1.58,1,4,-.08,16,13,0,5,1
1054,15,1.98,4,4,.83,12,12,0,2,16
1055,12,2.47,6,4,-.09,12,12,0,3,36
1056,15,2.39,2,4,.09,12,10,0,3,4
1057,12,1.93,3,4,-.5,12,10,0,3,9
1058,12,2.97,3,4,-.95,12,10,0,3,9
1061,13,2.86,6,4,-1.64,3,1,0,8,36
1062,12,1.84,6,4,-1.79,5,0,0,3,36
1063,9,1.76,4,4,-1.65,5,12,0,3,16
1067,12,2.24,8,4,-.37,12,12,1,3,64
1068,12,2.32,9,4,-.18,9,10,0,3,81
1069,12,2.86,8,4,.58,12,12,0,5,64
1071,11,2.91,7,4,-.95,10,8,0,5,49
1073,12,2.36,2,4,-.73,12,12,0,3,4
1077,12,2.32,7,4,-.24,12,10,0,6,49
1078,13,1.76,3,4,.01,12,10,0,6,9
1081,13,2.3,6,4,1.25,12,12,0,1,36
1082,15,2.81,3,4,1.33,16,18,0,3,9
1083,12,2.61,5,4,.53,9,9,0,6,25
1085,12,1.67,5,4,1.05,9,13,0,4,25
1089,12,2.62,5,4,.79,12,12,0,4,25
1090,12,2.2,2,4,-.45,12,12,0,4,4
1091,9,2.04,7,4,-1.44,9,9,1,4,49
1092,12,2.76,8,4,.22,12,12,0,4,64
1094,12,2.39,6,4,.76,12,13,0,1,36
1095,15,2.89,5,4,.52,12,12,0,3,25
1100,12,2.24,4,4,.82,12,16,1,2,16
1101,12,2.12,6,4,.43,12,12,0,2,36
1103,12,2.73,5,4,.62,12,12,0,6,25
1107,12,2.72,6,4,-.52,12,12,0,1,36
1109,12,2.62,7,4,.69,12,8,0,4,49
1110,12,2.67,9,4,.4,11,12,0,3,81
1111,12,2.16,3,4,0,9,9,0,3,9
1112,10,1.29,11,4,-.38,12,12,1,1,121
1113,15,2.9,5,4,.77,14,15,0,3,25
1115,12,1.75,3,4,1.19,13,12,0,4,9
1116,10,1.62,4,4,1.25,12,9,0,3,16
1119,12,2.14,4,4,.35,12,10,0,2,16
1120,12,2.29,8,4,-1.72,12,9,0,1,64
1122,13,2.27,2,4,1.27,12,11,0,0,4
